cik,name,sic4,sic1,sic2,sic3,countryba,bas1
38777_FRANKLIN RESOURCES INC,FRANKLIN RESOURCES INC,6282,60,62,628,US,ONE FRANKLIN PARKWAY
"39263_CULLEN/FROST BANKERS, INC.","CULLEN/FROST BANKERS, INC.",6021,60,60,602,US,111 W HOUSTON ST
39311_INDEPENDENT BANK CORP /MI/,INDEPENDENT BANK CORP /MI/,6022,60,60,602,US,4200 E BELTLINE AVE
39899_TEGNA INC,TEGNA INC,4833,40,48,483,US,8350 BROAD STREET
39911_GAP INC,GAP INC,5651,52,56,565,US,TWO FOLSOM STREET
40211_GATX CORP,GATX CORP,4700,40,47,470,US,233 SOUTH WACKER DRIVE
40533_GENERAL DYNAMICS CORP,GENERAL DYNAMICS CORP,3730,20,37,373,US,11011 SUNSET HILLS RD
40545_GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,3600,20,36,360,US,5 NECCO STREET
40729_ALLY FINANCIAL INC.,ALLY FINANCIAL INC.,6022,60,60,602,US,ALLY DETROIT CENTER
"40888_AEROJET ROCKETDYNE HOLDINGS, INC.","AEROJET ROCKETDYNE HOLDINGS, INC.",3760,20,37,376,US,222 N. PACIFIC COAST HIGHWAY
40987_GENUINE PARTS CO,GENUINE PARTS CO,5013,50,50,501,US,2999 WILDWOOD PARKWAY
41719_GLATFELTER CORP,GLATFELTER CORP,2621,20,26,262,US,4350 CONGRESS STREET
42888_GRACO INC,GRACO INC,3561,20,35,356,US,88 11TH AVENUE NE
"43920_GREIF, INC","GREIF, INC",3412,20,34,341,US,425 WINTER ROAD
45012_HALLIBURTON CO,HALLIBURTON CO,1389,10,13,138,US,3000 NORTH SAM HOUSTON PARKWAY EAST
45876_HARSCO CORP,HARSCO CORP,8900,70,89,890,US,350 POPLAR CHURCH ROAD
45876_ENVIRI CORP,ENVIRI CORP,8900,70,89,890,US,TWO LOGAN SQUARE
"46080_HASBRO, INC.","HASBRO, INC.",3944,20,39,394,US,1027 NEWPORT AVE
46250_HAWKINS INC,HAWKINS INC,5160,50,51,516,US,2381 ROSEGATE
46619_HEICO CORP,HEICO CORP,3724,20,37,372,US,3000 TAFT ST
"46765_HELMERICH & PAYNE, INC.","HELMERICH & PAYNE, INC.",1381,10,13,138,US,"1437 S. BOULDER AVE., SUITE 1400"
47111_HERSHEY CO,HERSHEY CO,2060,20,20,206,US,19 EAST CHOCOLATE AVENUE
47217_HP INC,HP INC,3570,20,35,357,US,1501 PAGE MILL ROAD
48287_HNI CORP,HNI CORP,2522,20,25,252,US,600 EAST SECOND STREET - PO BOX 1109
48465_HORMEL FOODS CORP /DE/,HORMEL FOODS CORP /DE/,2011,20,20,201,US,1 HORMEL PL
49071_HUMANA INC,HUMANA INC,6324,60,63,632,US,500 W MAIN ST
49196_HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES INC /MD/,6021,60,60,602,US,HUNTINGTON CTR
49600_EASTGROUP PROPERTIES INC,EASTGROUP PROPERTIES INC,6798,60,67,679,US,400 W. PARKWAY PLACE
"49754_DINE BRANDS GLOBAL, INC.","DINE BRANDS GLOBAL, INC.",5812,52,58,581,US,450 N BRAND BLVD 3RD FLR
49826_ILLINOIS TOOL WORKS INC,ILLINOIS TOOL WORKS INC,3560,20,35,356,US,155 HARLEM AVENUE
50493_INGLES MARKETS INC,INGLES MARKETS INC,5411,52,54,541,US,PO BOX 6676
50725_GRIFFON CORP,GRIFFON CORP,3442,20,34,344,US,712 FIFTH AVENUE
50863_INTEL CORP,INTEL CORP,3674,20,36,367,US,2200 MISSION COLLEGE BLVD
51143_INTERNATIONAL BUSINESS MACHINES CORP,INTERNATIONAL BUSINESS MACHINES CORP,3570,20,35,357,US,1 NEW ORCHARD ROAD
51253_INTERNATIONAL FLAVORS & FRAGRANCES INC,INTERNATIONAL FLAVORS & FRAGRANCES INC,2860,20,28,286,US,521 W 57TH ST
51434_INTERNATIONAL PAPER CO /NEW/,INTERNATIONAL PAPER CO /NEW/,2621,20,26,262,US,6400 POPLAR AVENUE
"51644_INTERPUBLIC GROUP OF COMPANIES, INC.","INTERPUBLIC GROUP OF COMPANIES, INC.",7311,70,73,731,US,909 THIRD AVENUE
52827_RAYONIER INC,RAYONIER INC,6798,60,67,679,US,1 RAYONIER WAY
52988_JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS INC.,1600,15,16,160,US,"1999 BRYAN STREET, SUITE 1200"
54381_KAMAN CORP,KAMAN CORP,3760,20,37,376,US,1332 BLUE HILLS AVE
54480_KANSAS CITY SOUTHERN,KANSAS CITY SOUTHERN,4011,40,40,401,US,427 W 12TH STREET
55135_KELLY SERVICES INC,KELLY SERVICES INC,7363,70,73,736,US,999 W BIG BEAVER RD
55242_KENNAMETAL INC,KENNAMETAL INC,3541,20,35,354,US,525 WILLIAM PENN PLACE
55529_KEWAUNEE SCIENTIFIC CORP /DE/,KEWAUNEE SCIENTIFIC CORP /DE/,3821,20,38,382,US,2700 W FRONT ST
55772_KIMBALL INTERNATIONAL INC,KIMBALL INTERNATIONAL INC,2510,20,25,251,US,1600 ROYAL ST
55785_KIMBERLY CLARK CORP,KIMBERLY CLARK CORP,2670,20,26,267,US,351 PHELPS DRIVE
56701_KOSS CORP,KOSS CORP,3651,20,36,365,US,4129 N PORT WASHINGTON AVE
56978_KULICKE & SOFFA INDUSTRIES INC,KULICKE & SOFFA INDUSTRIES INC,3674,20,36,367,SG,"23A SERANGOON NORTH AVENUE 5, #01-01"
57131_LA-Z-BOY INC,LA-Z-BOY INC,2510,20,25,251,US,ONE LA-Z-BOY DRIVE
57515_LANCASTER COLONY CORP,LANCASTER COLONY CORP,2030,20,20,203,US,380 POLARIS PARKWAY
58492_LEGGETT & PLATT INC,LEGGETT & PLATT INC,2510,20,25,251,US,NO. 1 LEGGETT ROAD
59440_VECTOR GROUP LTD,VECTOR GROUP LTD,2111,20,21,211,US,4400 BISCAYNE BOULEVARD
59478_ELI LILLY & CO,ELI LILLY & CO,2834,20,28,283,US,LILLY CORPORATE CTR
59527_LINCOLN ELECTRIC HOLDINGS INC,LINCOLN ELECTRIC HOLDINGS INC,3540,20,35,354,US,22801 ST CLAIR AVE
59558_LINCOLN NATIONAL CORP,LINCOLN NATIONAL CORP,6311,60,63,631,US,150 N RADNOR CHESTER RD
60086_LOEWS CORP,LOEWS CORP,6331,60,63,633,US,667 MADISON AVE
60667_LOWES COMPANIES INC,LOWES COMPANIES INC,5211,52,52,521,US,1000 LOWES BLVD.
61398_TELLURIAN INC. /DE/,TELLURIAN INC. /DE/,1311,10,13,131,US,1201 LOUISIANA STREET
62234_MARCUS CORP,MARCUS CORP,7830,70,78,783,US,100 EAST WISCONSIN AVENUE
"62709_MARSH & MCLENNAN COMPANIES, INC.","MARSH & MCLENNAN COMPANIES, INC.",6411,60,64,641,US,1166 AVENUE OF THE AMERICAS
62996_MASCO CORP /DE/,MASCO CORP /DE/,3430,20,34,343,US,17450 COLLEGE PARKWAY
63296_MATTHEWS INTERNATIONAL CORP,MATTHEWS INTERNATIONAL CORP,3360,20,33,336,US,TWO NORTHSHORE CENTER
63754_MCCORMICK & CO INC,MCCORMICK & CO INC,2090,20,20,209,US,24 SCHILLING ROAD
63908_MCDONALDS CORP,MCDONALDS CORP,5812,52,58,581,US,110 NORTH CARPENTER STREET
64040_S&P GLOBAL INC.,S&P GLOBAL INC.,7320,70,73,732,US,55 WATER STREET
64803_CVS HEALTH CORP,CVS HEALTH CORP,5912,52,59,591,US,ONE CVS DR.
64996_MERCURY GENERAL CORP,MERCURY GENERAL CORP,6331,60,63,633,US,4484 WILSHIRE BLVD
65984_ENTERGY CORP /DE/,ENTERGY CORP /DE/,4911,40,49,491,US,639 LOYOLA AVE
"66382_MILLERKNOLL, INC.","MILLERKNOLL, INC.",2520,20,25,252,US,855 E MAIN AVE
66570_MSA SAFETY INC,MSA SAFETY INC,3842,20,38,384,US,1000 CRANBERRY WOODS DRIVE
66740_3M CO,3M CO,3841,20,38,384,US,3M CENTER
66756_ALLETE INC,ALLETE INC,4931,40,49,493,US,30 W SUPERIOR ST
67215_DYCOM INDUSTRIES INC,DYCOM INDUSTRIES INC,1623,15,16,162,US,11780 U.S. HIGHWAY 1
67716_MDU RESOURCES GROUP INC,MDU RESOURCES GROUP INC,1400,10,14,140,US,1200 WEST CENTURY AVENUE
67887_MOOG INC.,MOOG INC.,3590,20,35,359,US,400 JAMISON ROAD
"68505_MOTOROLA SOLUTIONS, INC.","MOTOROLA SOLUTIONS, INC.",3663,20,36,366,US,500 W. MONROE ST.
68622_QWEST CORP,QWEST CORP,4813,40,48,481,US,P O BOX 4065
70145_NATIONAL FUEL GAS CO,NATIONAL FUEL GAS CO,4924,40,49,492,US,6363 MAIN STREET
70318_TENET HEALTHCARE CORP,TENET HEALTHCARE CORP,8062,70,80,806,US,14201 DALLAS PARKWAY
70502_NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,6159,60,61,615,US,20701 COOPERATIVE WAY
70858_BANK OF AMERICA CORP /DE/,BANK OF AMERICA CORP /DE/,6021,60,60,602,US,BANK OF AMERICA CORPORATE CENTER
70866_NCR CORP,NCR CORP,3578,20,35,357,US,864 SPRING STREET NW
70866_NCR VOYIX CORP,NCR VOYIX CORP,3578,20,35,357,US,864 SPRING STREET NW
71691_NEW YORK TIMES CO,NEW YORK TIMES CO,2711,20,27,271,US,620 EIGHTH AVENUE
71829_NEWPARK RESOURCES INC,NEWPARK RESOURCES INC,3533,20,35,353,US,9320 LAKESIDE BOULEVARD
72331_NORDSON CORP,NORDSON CORP,3569,20,35,356,US,28601 CLEMENS RD
72333_NORDSTROM INC,NORDSTROM INC,5651,52,56,565,US,1617 SIXTH AVENUE
72741_EVERSOURCE ENERGY,EVERSOURCE ENERGY,4911,40,49,491,US,300 CADWELL DRIVE
72903_XCEL ENERGY INC,XCEL ENERGY INC,4931,40,49,493,US,414 NICOLLET MALL
72909_NORTHERN STATES POWER CO /WI/,NORTHERN STATES POWER CO /WI/,4931,40,49,493,US,1414 W HAMILTON AVE
72971_WELLS FARGO & COMPANY/MN,WELLS FARGO & COMPANY/MN,6021,60,60,602,US,420 MONTGOMERY STREET
73088_NORTHWESTERN CORP,NORTHWESTERN CORP,4931,40,49,493,US,3010 W 69TH STREET
73124_NORTHERN TRUST CORP,NORTHERN TRUST CORP,6022,60,60,602,US,50 S LASALLE ST
73756_OCEANEERING INTERNATIONAL INC,OCEANEERING INTERNATIONAL INC,1389,10,13,138,US,11911 FM 529
74046_OIL-DRI CORP OF AMERICA,OIL-DRI CORP OF AMERICA,3990,20,39,399,US,410 NORTH MICHIGAN AVENUE
"74208_UDR, INC.","UDR, INC.",6798,60,67,679,US,1745 SHEA CENTER DRIVE
74260_OLD REPUBLIC INTERNATIONAL CORP,OLD REPUBLIC INTERNATIONAL CORP,6351,60,63,635,US,307 N MICHIGAN AVE
74303_OLIN CORP,OLIN CORP,2800,20,28,280,US,OLIN CORPORATION
75252_OWENS & MINOR INC/VA/,OWENS & MINOR INC/VA/,5047,50,50,504,US,9120 LOCKWOOD BLVD
75288_OXFORD INDUSTRIES INC,OXFORD INDUSTRIES INC,2320,20,23,232,US,999 PEACHTREE STREET NE
76282_PARK OHIO HOLDINGS CORP,PARK OHIO HOLDINGS CORP,3460,20,34,346,US,6065 PARKLAND BLVD.
76334_PARKER HANNIFIN CORP,PARKER HANNIFIN CORP,3490,20,34,349,US,6035 PARKLAND BOULEVARD
76605_PATRICK INDUSTRIES INC,PATRICK INDUSTRIES INC,3714,20,37,371,US,107 WEST FRANKLIN STREET PO BOX 638
77159_RANGER OIL CORP,RANGER OIL CORP,1311,10,13,131,US,16285 PARK TEN PLACE
77360_PENTAIR PLC,PENTAIR PLC,3550,20,35,355,GB,"REGAL HOUSE, 70 LONDON ROAD"
77476_PEPSICO INC,PEPSICO INC,2080,20,20,208,US,700 ANDERSON HILL RD
77543_TUTOR PERINI CORP,TUTOR PERINI CORP,1540,15,15,154,US,15901 OLDEN STREET
"77877_PDC ENERGY, INC.","PDC ENERGY, INC.",1311,10,13,131,US,1775 SHERMAN STREET
78003_PFIZER INC,PFIZER INC,2834,20,28,283,US,66 HUDSON BOULEVARD EAST
78239_PVH CORP. /DE/,PVH CORP. /DE/,2320,20,23,232,US,285 MADISON AVENUE
78814_PITNEY BOWES INC /DE/,PITNEY BOWES INC /DE/,3579,20,35,357,US,PITNEY BOWES INC
78890_BRINKS CO,BRINKS CO,4731,40,47,473,US,1801 BAYBERRY COURT
79879_PPG INDUSTRIES INC,PPG INDUSTRIES INC,2851,20,28,285,US,ONE PPG PL 40 EAST
80420_POWELL INDUSTRIES INC,POWELL INDUSTRIES INC,3613,20,36,361,US,8550 MOSLEY DR
80424_PROCTER & GAMBLE CO,PROCTER & GAMBLE CO,2840,20,28,284,US,ONE PROCTER & GAMBLE PLAZA
80661_PROGRESSIVE CORP/OH/,PROGRESSIVE CORP/OH/,6331,60,63,633,US,6300 WILSON MILLS RD
81018_PUBLIC SERVICE CO OF COLORADO,PUBLIC SERVICE CO OF COLORADO,4931,40,49,493,US,1800 LARIMER STREET
81061_PUBLIX SUPER MARKETS INC,PUBLIX SUPER MARKETS INC,5411,52,54,541,US,3300 PUBLIX CORPORATE PARKWAY
81362_QUAKER CHEMICAL CORP,QUAKER CHEMICAL CORP,2990,20,29,299,US,ONE QUAKER PARK
82811_REGAL REXNORD CORP,REGAL REXNORD CORP,3621,20,36,362,US,200 STATE ST
83246_HSBC USA INC /MD/,HSBC USA INC /MD/,6021,60,60,602,US,452 FIFTH AVE
83350_RESERVE PETROLEUM CO,RESERVE PETROLEUM CO,1311,10,13,131,US,6801 N BROADWAY STE 300
84748_ROGERS CORP,ROGERS CORP,2821,20,28,282,US,2225 W CHANDLER BLVD
84839_ROLLINS INC,ROLLINS INC,7340,70,73,734,US,2170 PIEDMONT RD NE
85961_RYDER SYSTEM INC,RYDER SYSTEM INC,7510,70,75,751,US,11690 N.W. 105TH STREET
"86312_TRAVELERS COMPANIES, INC.","TRAVELERS COMPANIES, INC.",6331,60,63,633,US,385 WASHINGTON ST
88121_SEABOARD CORP /DE/,SEABOARD CORP /DE/,5150,50,51,515,US,9000 W. 67TH STREET
"88205_SPX TECHNOLOGIES, INC.","SPX TECHNOLOGIES, INC.",3540,20,35,354,US,6325 ARDREY KELL ROAD
88941_SEMTECH CORP,SEMTECH CORP,3674,20,36,367,US,200 FLYNN ROAD
89089_SERVICE CORP INTERNATIONAL,SERVICE CORP INTERNATIONAL,7200,70,72,720,US,1929 ALLEN PKWY
89439_MUELLER INDUSTRIES INC,MUELLER INDUSTRIES INC,3350,20,33,335,US,SUITE 100
89800_SHERWIN WILLIAMS CO,SHERWIN WILLIAMS CO,5200,52,52,520,US,101 PROSPECT AVE NW
90168_SIFCO INDUSTRIES INC,SIFCO INDUSTRIES INC,3724,20,37,372,US,970 E 64TH ST
91142_SMITH A O CORP,SMITH A O CORP,3630,20,36,363,US,11270 WEST PARK PLACE
91419_J M SMUCKER CO,J M SMUCKER CO,2033,20,20,203,US,ONE STRAWBERRY LANE
91440_SNAP-ON INC,SNAP-ON INC,3420,20,34,342,US,2801 80TH STREET
91576_KEYCORP /NEW/,KEYCORP /NEW/,6021,60,60,602,US,127 PUBLIC SQ
91767_SONOCO PRODUCTS CO,SONOCO PRODUCTS CO,2650,20,26,265,US,ONE NORTH SECOND ST
92122_SOUTHERN CO,SOUTHERN CO,4911,40,49,491,US,"30 IVAN ALLEN JR. BLVD., N.W."
92230_TRUIST FINANCIAL CORP,TRUIST FINANCIAL CORP,6021,60,60,602,US,214 NORTH TRYON STREET
92380_SOUTHWEST AIRLINES CO,SOUTHWEST AIRLINES CO,4512,40,45,451,US,2702 LOVE FIELD DR
92521_SOUTHWESTERN PUBLIC SERVICE CO,SOUTHWESTERN PUBLIC SERVICE CO,4931,40,49,493,US,SPS TOWER
93410_CHEVRON CORP,CHEVRON CORP,2911,20,29,291,US,6001 BOLLINGER CANYON ROAD
"93556_STANLEY BLACK & DECKER, INC.","STANLEY BLACK & DECKER, INC.",3420,20,34,342,US,1000 STANLEY DR
93676_STARRETT L S CO,STARRETT L S CO,3420,20,34,342,US,121 CRESCENT ST
93751_STATE STREET CORP,STATE STREET CORP,6022,60,60,602,US,ONE LINCOLN STREET
